affiliate_fct_normdata_id,affiliate_fct_normdata,affiliate_fct_id,affiliate_fct,affiliate_fct_occurrence,affiliate_fct
101704,http://d-nb.info/gnd/1045068969,283188,"Wiedemann, Klaus",4,"Wiedemann, Klaus"
107916,http://d-nb.info/gnd/1020401419,301046,"Jakobeit, Cord",4,"Jakobeit, Cord"
108133,http://d-nb.info/gnd/1020483253,301673,"Schmiedebach, Heinz-Peter",4,"Schmiedebach, Heinz-Peter"
108727,http://d-nb.info/gnd/158087402,303509,"Zhang, Jianwei",4,"Zhang, Jianwei"
146247,http://d-nb.info/gnd/103040836X,413574,"Petersen, Jörg",4,"Petersen, Jörg"
152890,http://d-nb.info/gnd/102760983X,432920,"Heiland, Max",4,"Heiland, Max"
155121,http://d-nb.info/gnd/1030408769,439798,"Köhl, Michael",4,"Köhl, Michael"
165764,http://d-nb.info/gnd/1027609643,470679,"Bruchhaus, Iris",4,"Bruchhaus, Iris"
177071,http://d-nb.info/gnd/102518193X,505197,"Fraedrich, Klaus",4,"Fraedrich, Klaus"
188985,http://d-nb.info/gnd/1030408130,540895,"Rüther, Wolfgang",4,"Rüther, Wolfgang"
192206,http://d-nb.info/gnd/1025962591,550680,"Temming, Axel",4,"Temming, Axel"
197734,http://d-nb.info/gnd/1030408300,566885,"Habermann, Christian",4,"Habermann, Christian"
199434,http://d-nb.info/gnd/1036774309,571811,"Oepen, Hans Peter",4,"Oepen, Hans Peter"
201876,http://d-nb.info/gnd/1020483865,579201,"Braumann, Klaus-Michael",4,"Braumann, Klaus-Michael"
218437,http://d-nb.info/gnd/1020444150,628457,"May, Arne",4,"May, Arne"
257269,http://d-nb.info/gnd/1020483407,745031,"Jücker, Manfred",4,"Jücker, Manfred"
307929,http://d-nb.info/gnd/1031804617,897253,"Schramm, Christoph",4,"Schramm, Christoph"
328740,http://d-nb.info/gnd/1020484233,960552,"Rune, Gabriele",4,"Rune, Gabriele"
13679,http://d-nb.info/gnd/1024404129,37347,"Wenzel, Ulrich",3,"Wenzel, Ulrich"
14981,http://d-nb.info/gnd/1020401753,40798,"Willems, Stephan",3,"Willems, Stephan"
25031,http://d-nb.info/gnd/102040129X,68123,"Frühwald, Arno",3,"Frühwald, Arno"
33416,http://d-nb.info/gnd/1020483946,90913,"Mester, Janos",3,"Mester, Janos"
35539,http://d-nb.info/gnd/1027609902,96669,"Stammer, Detlef",3,"Stammer, Detlef"
139451,http://d-nb.info/gnd/1020483520,113136,"Ludwig, Thomas",3,"Ludwig, Thomas"
45412,http://d-nb.info/gnd/1034999559,123578,"Dobler, Susanne",3,"Dobler, Susanne"
50143,http://d-nb.info/gnd/1045068357,136630,"Hense, Inga",3,"Hense, Inga"
54501,http://d-nb.info/gnd/102440417X,148947,"Baur, Xaver (1947-)",3,"Baur, Xaver (1947-)"
60099,http://d-nb.info/gnd/103131704X,165149,"Nell, Martin",3,"Nell, Martin"
72752,http://d-nb.info/gnd/1024802876,200860,"Schlünzen, K. Heinke",3,"Schlünzen, K. Heinke"
73444,http://d-nb.info/gnd/1042320616,202681,"May, Jürgen",3,"May, Jürgen"
102816,http://d-nb.info/gnd/1037241975,223883,"Hagel, Christian",3,"Hagel, Christian"
87687,http://d-nb.info/gnd/102636440X,243168,"Michaelis, Walter",3,"Michaelis, Walter"
95253,http://d-nb.info/gnd/102102807X,264537,"Rueger, Johannes M.",3,"Rueger, Johannes M."
95402,http://d-nb.info/gnd/1042320632,264989,"Singer, Dominique",3,"Singer, Dominique"
102190,http://d-nb.info/gnd/11383733X,284678,"Reuter, Daniel",3,"Reuter, Daniel"
103883,http://d-nb.info/gnd/1037864328,289708,"Burchard, Gerd-Dieter",3,"Burchard, Gerd-Dieter"
110389,http://d-nb.info/gnd/1030408289,308572,"Knecht, Rainald",3,"Knecht, Rainald"
111596,http://d-nb.info/gnd/1033029025,312243,"Denzer, Ulrike",3,"Denzer, Ulrike"
112820,http://d-nb.info/gnd/1030408858,315953,"Ganzhorn, Jörg",3,"Ganzhorn, Jörg"
