affiliate_fct_normdata_id,affiliate_fct_normdata,affiliate_fct_id,affiliate_fct,affiliate_fct_occurrence,affiliate_fct
65958,http://d-nb.info/gnd/1020401834,7819,"Staats- und Universitätsbibliothek Hamburg",6,"Staats- und Universitätsbibliothek Hamburg"
65958,http://d-nb.info/gnd/1020401834,181697,"Naber, Dieter",6,"Naber, Dieter"
82585,http://d-nb.info/gnd/1015451462,7819,"Staats- und Universitätsbibliothek Hamburg",6,"Staats- und Universitätsbibliothek Hamburg"
82585,http://d-nb.info/gnd/1015451462,228550,"Baldus, Stephan",6,"Baldus, Stephan"
110544,http://d-nb.info/gnd/158796128,7819,"Staats- und Universitätsbibliothek Hamburg",6,"Staats- und Universitätsbibliothek Hamburg"
110544,http://d-nb.info/gnd/158796128,308979,"Augustin, Matthias",6,"Augustin, Matthias"
111821,http://d-nb.info/gnd/18298396X,7819,"Staats- und Universitätsbibliothek Hamburg",6,"Staats- und Universitätsbibliothek Hamburg"
111821,http://d-nb.info/gnd/18298396X,312903,"Dartsch, Dorothee",6,"Dartsch, Dorothee"
139694,http://d-nb.info/gnd/104011254,7819,"Staats- und Universitätsbibliothek Hamburg",6,"Staats- und Universitätsbibliothek Hamburg"
139694,http://d-nb.info/gnd/104011254,361944,"Fischer, Lutz",6,"Fischer, Lutz"
173090,http://d-nb.info/gnd/1020444339,7819,"Staats- und Universitätsbibliothek Hamburg",6,"Staats- und Universitätsbibliothek Hamburg"
173090,http://d-nb.info/gnd/1020444339,493105,"Storch, Hans von",6,"Storch, Hans von"
193830,http://d-nb.info/gnd/102044424X,7819,"Staats- und Universitätsbibliothek Hamburg",6,"Staats- und Universitätsbibliothek Hamburg"
193830,http://d-nb.info/gnd/102044424X,555379,"Kutsche, Kerstin",6,"Kutsche, Kerstin"
8561,http://d-nb.info/gnd/106694359,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
8561,http://d-nb.info/gnd/106694359,23634,"Meyer, Bernd",5,"Meyer, Bernd"
9255,http://d-nb.info/gnd/102044441X,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
9255,http://d-nb.info/gnd/102044441X,25402,"Koch-Gromus, Uwe",5,"Koch-Gromus, Uwe"
11220,http://d-nb.info/gnd/110864638,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
11220,http://d-nb.info/gnd/110864638,30619,"Pfeiffer, Eva-Maria",5,"Pfeiffer, Eva-Maria"
12751,http://d-nb.info/gnd/110837789,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
12751,http://d-nb.info/gnd/110837789,34875,"Bredehorst, Reinhard",5,"Bredehorst, Reinhard"
15700,http://d-nb.info/gnd/1023981467,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
15700,http://d-nb.info/gnd/1023981467,42656,"Nielsch, Kornelius",5,"Nielsch, Kornelius"
16543,http://d-nb.info/gnd/187939799,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
16543,http://d-nb.info/gnd/187939799,44937,"Haasen, Christian",5,"Haasen, Christian"
19832,http://d-nb.info/gnd/120460068,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
19832,http://d-nb.info/gnd/120460068,53874,"Kemper, Markus",5,"Kemper, Markus"
