current_facet_id,facet_id,c,value
4,569,516,Dorf
4,1412,100,Modellbau
4,373,130,Fenster
4,1036,171,Gruppe (3-figurig)
4,1143,945,Demonstrationen
4,1290,959,Sozialwesen
4,719,1013,Reportagefotografie
4,926,318,Grabplatte
4,5104,611,Gaststätte
4,703,949,Altstadt
4,1635,282,Kanne
4,1875,527,Scheune
4,385,730,Arbeit
4,733,780,Kirchen
4,628,740,Kinder
4,1479,13,vorbereitende Zeichnung
4,968,257,Taufstein
4,936,919,Innenstadt
4,1014,20,Sarkophag
4,357,825,Dresden
4,2463,504,Marktplatz
4,1053,915,Aktfotografie
4,467,909,Akte
4,1621,900,Erster Mai
4,3339,67,Konsolfigur
4,931,879,DDR
4,231,881,Arbeitende
4,2324,645,Waffe
4,435,216,Modell
4,1201,860,Museum für Sächsische Volkskunst mit Puppentheatersammlung
4,1192,183,Palais
4,5933,300,Leuchter
4,44,854,Möbelmessen
4,4303,321,Tor
4,1934,2,Flugschrift
4,7,672,Medaille
4,1567,197,Kartenwerk
4,182,826,Kriegszerstörte Stadt
4,1271,34,Kleinskulptur
4,927,153,Tür
4,1674,332,Krankenhaus
4,454,802,Druckerzeugnis
4,872,256,Krug
4,1450,788,Kriege
4,1493,26,Querschnitt
4,861,158,Gartenskulptur
4,4629,98,Palast
4,1800,33,Inschrift
4,772,19,Profanarchitektur
4,686,34,Reliquiar
4,1397,564,Glasgefäß
4,913,77,Decke
4,678,644,Schlösser
4,765,484,Handel
4,4395,212,Teller
4,562,377,Geldwesen
4,5300,309,Friedhof
4,1987,1,Sakralbau
4,963,35,Geographie
4,1824,1,Militärarchitektur
4,2925,14,Ortsansicht
4,331,225,Münze
4,3017,424,Park
4,1055,734,Festveranstaltungen
4,6962,163,Bibliothek
4,704,166,Kreuzgang
4,1123,171,Portfolio-Pöppelmann-Zwinger
4,4145,720,Freie Deutsche Jugend
4,1124,705,Festarchitektur
4,2233,476,Schiffe
4,465,532,Bibliotheken
4,1206,335,Stuhl
4,4273,202,Saal
4,2013,448,Schüler
4,1581,669,Berufsausbildung
4,1129,1,Landesaufnahme
5,5,480195,Kapitel
5,1283,1,Varia
5,107,1,DigiWunschbuch
72,4,69777,Fotos
72,1,901,Fotografie
72,2,626,Foto
72,11,68888,Kontaktbogen
72,21,1616,Monografie
72,10,10,Architektur
72,72,80823,Politik
72,15,3,Skulptur
72,22,7,Medizin
72,155,62,Gesellschaft
72,31,26,AV-Materialien
72,179,2,Band
72,178,39,Online-Publikation
72,38,3,Industrie
72,115,283,Wirtschaft
72,186,1400,Zeitschrift
72,12,454,Recht
72,58,1465,Nachrichtenmedien
72,262,280,Erziehung
72,201,641,Zeitschriften
72,184,1619,Geschichte
72,319,2,Musik
72,450,1,Stadt
72,77,1,Sport
72,126,8,Kirche
72,263,14,Landwirtschaft
72,203,1,Text
72,45,2,Landwirtschaft
72,522,4,Informatik
72,530,388,Geschichte Deutschlands
72,68,1,Oper
72,185,1191,Quelle
72,188,13,Theologie
72,315,1,Tiere
72,529,144,Geografie
72,168,9,Geowissenschaften
72,1482,193,Deutschland
72,424,1,Künstler
72,170,11,Naturwissenschaften
72,169,4,Allgemeines
72,605,193,Militär
72,1044,333,Literatur
72,974,522,Geschichte Europas
72,962,97,Geografie
72,1542,25,Soziale Probleme
72,196,3,Handel
72,39,57,Sozialwissenschaften
72,267,1,Keramik
72,427,2,Management
72,1027,1,Denkmal
72,439,650,Französische Literatur
72,441,650,Spanische und portugiesische Literatur
72,440,650,Italienische
72,1046,675,Literatur
72,859,1,Mehrbändiges Werk
72,511,3,Psychologie
72,59,25,Freizeitgestaltung
72,1039,12,Kultur
72,264,14,Hauswirtschaft und Familienleben
72,479,1,Schule
72,1834,121,Bayern
72,586,124,Biografie
72,447,34,Fortlaufendes Sammelwerk
72,421,10,Kunst
72,830,43,Deutsche Literatur
72,571,3,Büste
72,1202,5,Theologie
72,780,14,Philosophie
72,585,61,Plastik
72,1212,1,Bibliotheks- und Informationswissenschaft
72,2022,2,Medizin
72,80,99,Alte Geschichte
72,1814,35,Aufsatzsammlung
72,175,10,Technik
72,2063,701,Frankreich
72,1226,4,Deutsch
72,985,1,Schloß
72,1460,235,Sprache
72,1470,168,Literatur in anderen Sprachen
72,2640,31,Bericht
72,1456,1,Sammlung
72,221,64,Statistik
72,1601,3,Jugend
72,1730,87,Archivalien
72,977,8,Hausbau
72,2651,17,Kongress
72,779,9,Bibliographie
72,2381,347,Europa
72,3122,8,Öffentliche Verwaltung
72,1620,2,Öffentliche Darbietungen
72,1777,85,Zeitung
72,472,6,Biographie
72,3911,62,Österreich
72,4104,3,Bibliografien
72,687,9,Religion
72,1934,1,Flugschrift
72,1108,1,Schulbuch
72,310,2,Natürliche Ressourcen
72,1800,1,Inschrift
72,2090,10,Bräuche
72,765,1,Handel
19,19,452050,Spruchkammerakten
19,435632,452050,Spruchkammerakten
19,435632,452050,Spruchkammerakten
1,4,348925,Fotos
1,1,374466,Fotografie
1,2,279300,Foto
1,11,1462,Kontaktbogen
1,21,2,Monografie
1,10,16140,Architektur
1,66,21656,Ortskatalog zur Kunst und Architektur
1,24,2266,Bild
1,72,901,Politik
1,52,59939,Technik-Katalog
1,15,928,Skulptur
1,17,372,Kunst und Kultur
1,155,52,Gesellschaft
1,51,878,Druck
1,36,1077,Wohnhaus
1,6,2612,Kunstgewerbe
1,27,1376,Zeichenkunst
1,50,1601,Druckgrafik
1,23,1200,Tafelmalerei
1,132,2850,Malerei
1,31,31,AV-Materialien
1,28,576,Zeichnung
1,60,15415,Bildnis
1,3,28235,Szenenbilder
1,192,18,Bildung und Wissenschaft
1,102,9463,Bildnis-Katalog
1,62,23656,Luftbildschrägaufnahme
1,94,9,Deckenmalerei
1,172,419,Grabskulptur
1,111,43,Wandmalerei
1,38,857,Industrie
1,133,18109,Bildnisse
1,16,182,Statue
1,157,3,Nachlässe
1,153,42,Bauskulptur
1,85,36,Buchmalerei
1,93,2,Deckenbild
1,115,667,Wirtschaft
1,12,1,Recht
1,391,4,Kartenforum
1,146,2,Handel und Wirtschaft
1,73,33,Relief
1,239,18,Grabstein
1,46,4310,Portrait
1,145,14,Wandbild
1,184,54,Geschichte
1,320,5,Physik
