"id","name","count"
362,"Zyklus",2222
992,"Textilkunst",2218
3462,"Sonstige",2201
371,"Fliegende Blätter",2191
329,"Platz",2178
1566,"Miniatur (in der Kolumne)",2157
1012,"Deckendekoration",2142
311,"Freizeit",2136
758,"Portalskulptur",2117
700,"Glasbild",2107
1202,"Theologie",2104
194,"Schriftkunst",2085
432,"biblischer Text",2083
780,"Philosophie",2083
361,"Rundplastik",2067
1140,"Bergbau",2067
118,"Brennkraftmotor",2032
1173,"Bauernhaus",2027
585,"Plastik, Numismatik, Keramik, Metallkunst",2019
925,"Galerie Neue Meister",2016
1212,"Bibliotheks- und Informationswissenschaft",2015
1028,"Zivilprozessakten",1997
2022,"Medizin",1980
80,"Alte Geschichte, Archäologie",1962
156,"Dissertation:jur.",1958
1814,"Aufsatzsammlung",1955
175,"Technik",1954
932,"politische Veranstaltungen",1953
452,"Goldschmiedekunst",1923
828,"sonstiger Text",1912
107,"DigiWunschbuch",1900
2063,"Frankreich",1884
1672,"Sitzfigur",1854
173,"Epitaph",1852
967,"Alltag",1834
96,"Gasthaus",1830
1736,"Bildwerke / Bildende Kunst",1813
108,"Brücke",1779
1226,"Deutsch",1770
649,"Kapelle",1752
3537,"Flurförderer mit Hubeinrichtung",1747
55,"Schauspiel",1742
757,"Kopf",1736
870,"Wanddekoration",1726
418,"Arbeiten auf Papier",1721
854,"Brief",1708
883,"Buchillustration",1702
2257,"Bucherhaltung",1673
985,"Schloß",1672
599,"Pressefotografie",1659
676,"Lastkraftwagen",1621
8,"Stenografie",1619
1831,"Gruppe",1591
1460,"Sprache, Linguistik",1581
199,"Gemäldegalerie Alte Meister",1570
1470,"Literatur in anderen Sprachen",1566
2640,"Bericht",1557
1456,"Sammlung",1533
561,"Kruzifix",1530
131,"920 - Biografie, Genealogie",1523
1219,"Stadtplan",1520
2143,"Schlussstein",1519
221,"Statistik",1517
580,"Vase",1508
2048,"Bauwerk",1508
1393,"Schmiedekunst",1502
3806,"Turm",1497
366,"Kaiserreich Geschichtsschulbuecher",1487
128,"Hamburgensien: Portraits",1469
129,"Portraitsammlung",1469
379,"Kanzel",1460
930,"Elektromotor",1447
718,"Retabel",1446
1359,"elektrisch",1436
106,"Itineraria",1428
4359,"Aufbau",1427
148,"Bleistift",1418
2349,"Vedute",1412
2354,"Kulturveranstaltungen",1407
1018,"EDV, Anwendung",1403
1740,"Libretto",1403
871,"Gewölbebild",1397
1601,"Jugend",1379
778,"Altarbild",1377
3183,"Plastik",1362
1961,"Skizze",1352
1901,"Klosterkirche",1351
295,"Brunnenskulptur",1343
37,"Tierwelt",1340
524,"Geometrie",1338
1615,"Trailer",1338
2320,"City",1338
1539,"Altkarte",1332
1730,"Archivalien",1332
1426,"Studie",1311
1035,"Freiskulptur",1309
1911,"Schrank",1307
566,"Reisezugwagen",1297
92,"Wohnzimmermöbel",1294
26,"Lagereiwesen",1292
48,"Figur",1286
1261,"Postkarte",1283
402,"historisierte Initiale",1268
2145,"Veröffentlichung",1262
491,"Produktionsmaterial",1259
2123,"Dorfkirche",1259
1414,"Vorlesungsverzeichnis",1252
657,"Tierfigur",1249
513,"Kloster",1248
651,"Porträts",1237
1296,"Initiale",1236
123,"Gebäude",1227
181,"Konsole",1214
977,"Hausbau, Bauhandwerk",1210
3966,"Gefäß",1206
857,"830 - Deutsche und verwandte Literaturen",1198
307,"Deutsches Filminstitut - DIF e.V., Standfoto",1195
2651,"Kongress",1194
3168,"Frisör",1193
814,"Mosaikkunst",1189
294,"Innenraum",1183
1874,"Grafik",1175
598,"Verwaltungsgebäude",1172
779,"Bibliographie",1164
1249,"Musizierende",1163
632,"Güterwagen",1160
855,"Aus Nachlass Richard Dehmel",1151
856,"Briefkopierbücher Richard Dehmel",1151
4972,"Astronomie",1151
246,"Bagger",1141
2381,"Europa",1140
627,"Staatliche Hochschule für Baukunst und Bildende Künste Weimar 1946-1951",1139
3122,"Öffentliche Verwaltung",1135
1370,"Laden",1132
2698,"Theater / Oper",1124
3224,"liturgischer Text &amp; Gebetbuch",1123
1491,"Museum",1114
1620,"Öffentliche Darbietungen, Film, Rundfunk",1114
482,"Hochaltar",1112
910,"Fabrik",1109
805,"fortlaufendes Sammelwerk",1108
896,"Schale",1107
850,"Stadttor",1095
1360,"Wappen",1088
1529,"Baumaschine",1086
1353,"Dissertation:phil.",1079
1022,"Konzert",1074
444,"Rezension",1066
2200,"Hotel",1061
2867,"Schriftsteller",1058
1771,"Staatsbibliotheken",1056
1777,"Zeitung",1056
569,"Dorf",1050
1545,"Dissertation:med.",1044
1412,"Modellbau",1042
373,"Fenster",1038
3160,"Historische Drucke: 1601 bis 1700",1038
1036,"Gruppe (3-figurig)",1035
1143,"Demonstrationen",1034
1290,"Sozialwesen",1030
265,"Gemeinderechnungen",1023
2355,"Paläontologie",1021
719,"Reportagefotografie",1016
926,"Grabplatte",1011
