"id","value"
943,"Mutterkuhhaltung"
944,"Extensivtierhaltung"
945,"Milchleistung"
946,"Futtermittel"
947,"Endotoxin"
948,"Antioxidans"
949,"Kirche (evangelisch)"
950,"Wohn- und Gasthaus"
951,"Schulwandbild Biologie"
952,"Handarbeitsunterricht"
953,"Stolberg-Wernigerode, Juliane Prinzessin zu"
954,"Druckereien; Rapp (Cannstatt)"
955,"Zeitungen; \"Cannstatter Merkur\""
956,"Historische Drucke"
957,"Sprachen / Literaturen"
958,"Gelegenheitsschrift: Begrüßung"
959,"Griechisch"
960,"Delos"
961,"Weihinschrift"
962,"Geografie, Reisen"
963,"Geographie"
964,"Vignette"
965,"Holzschnitt"
966,"Kontrolleinrichtung"
967,"Alltag"
968,"Taufstein"
969,"Urkunden; Adelsdiplome"
970,"Wandbespannung"
971,"::Der:: goldige Rosenkrånz, versetzt mit Perlen gånz"
972,"Portfolio-Höhne-Pohl-Bildnisse"
973,"Schranz, H."
974,"Geschichte Europas"
975,"Reportage"
976,"Sebastian Ochsekhun"
977,"Hausbau, Bauhandwerk"
978,"Randausläufer"
979,"Triumphkreuzgruppe"
980,"Gesundheit und Soziales"
981,"Forstamt Donaueschingen"
982,"Dach"
983,"Membran"
984,"Bildstock"
985,"Schloß"
986,"Nitrylhalogenide"
987,"Reaktionskinetik"
988,"Ultraviolettspektroskopie"
989,"Halogennitrite"
990,"Halogennitrate"
991,"Kasel"
992,"Textilkunst"
993,"Kriegswirtschaftsverordnung"
994,"Schwarzschlachtung"
995,"Constitutional history <Holy Roman Empire>"
996,"Constitutional law <Holy Roman Empire>"
997,"Public law <Holy Roman Empire>"
998,"Universities and colleges"
999,"Kraftwerke"
1000,"Rheinkraftwerk Birsfelden"
