timeId,name,keywordId,count
2,Mathematik,363,398
2,Französische Literatur,439,393
2,"Italienische, rumänische, rätoromanische Literatur",440,393
2,Spanische und portugiesische Literatur,441,393
2,"Biowissenschaften, Biologie",235,387
2,Kirche,126,386
2,"Sprache, Linguistik",1460,384
2,Bibliographie,779,384
2,Deutsche Literatur,830,381
2,"Organisationen, Museumswissenschaft",5100,375
3,Fotos,4,39815
3,Architektur,10,23440
3,Fotografie,1,16927
3,Foto,2,15775
3,Ortskatalog zur Kunst und Architektur,66,14567
3,Technik-Katalog,52,11823
3,Wohnhaus,36,8802
3,Personalakten,9,7314
3,Bild,24,6615
3,Monographie,14,4823
3,Karten und Pläne,82,4715
3,Online-Publikation,178,3297
3,Band,179,3164
3,Druck,51,2964
3,Nachlässe,157,2773
3,Grabskulptur,172,2756
3,Wohnen,174,2656
3,Skulptur,15,2509
3,Amtsbücher,30,2503
3,Druckgrafik,50,2453
3,Kunstgewerbe,6,2307
3,Kartenforum,391,2162
3,Zeichenkunst,27,1995
3,Wohn- und Geschäftshaus,327,1864
3,Grabstein,239,1812
3,Tafelmalerei,23,1730
3,Monografie,21,1543
3,Malerei,132,1389
3,Zeichnung,28,1379
3,Topografie,390,1300
3,Print,236,1173
3,Mathematica,1528,1076
3,Krankenakten,35,1005
3,Villa,1565,954
3,Zeichnung / Grafik,415,927
3,Druckgraphik,568,891
3,Vorderseite,312,872
3,Rückseite,905,771
3,Bauernhof,187,686
3,Wandmalerei,111,670
3,Plan,606,654
3,Stenografie,8,648
3,mehrbändiges Werk,105,632
3,Zeichnung / Skizze,151,620
3,Wandbild,145,595
3,Statue,16,491
3,Laden,1370,478
3,Kirche,126,474
3,Theater / Oper,2698,460
3,Großherzoglich Sächsische Kunstschule zu Weimar 1860-1910,624,459
3,Mehrbändiges Werk,859,457
3,Staatliche Hochschule für Baukunst und Bildende Künste Weimar 1946-1951,627,455
3,Kaiserreich Geschichtsschulbuecher,366,450
3,Schule,479,412
3,Denkmal,1027,401
3,Geschichte,184,377
3,Kirche (evangelisch),949,355
3,Grundriss,211,349
3,Bauskulptur,153,349
3,Rathaus,437,346
3,Porträt,238,342
3,Denkmalskulptur,412,333
3,Bleistift,148,331
3,Grabmal,413,306
3,Buch,1277,299
3,Bucherhaltung,2257,298
3,Bauverwaltung,663,297
3,Inschrift,1800,296
3,Varia,1283,289
3,Römerzeit,582,284
3,DigiWunschbuch,107,277
3,Deckenmalerei,94,277
3,Schloss,761,276
3,Gasthaus,96,271
3,Goldschmiedekunst,452,263
3,Brücke,108,262
3,Zoologica,806,261
3,Feldbereinigung; Pläne,4272,257
3,Verwaltungsgebäude,598,257
3,Wohnen; Wohnhaus,712,255
3,Relief,73,243
3,Hamburgensien: Darstellungen und Nachschlagewerke,1677,242
3,Brunnen,296,235
3,Buchillustration,883,233
3,Gemälde,377,231
3,Haar- und Bartpflege,2794,227
3,Fabrik,910,224
3,Staatliche Hochschule für Baukunst und Bildende Künste Weimar 1942-1945,626,211
3,Sakralbau,1987,210
3,Kirche (katholisch),587,209
3,Ansichtskarte,1444,208
3,Kunsthandwerk,417,208
3,Antike,2936,207
3,Geographieschulbuecher Kaiserreich,521,201
3,Deckenbild,93,196
3,Fortlaufendes Sammelwerk,447,195
3,Kunst,421,187
3,Stadtplan,1219,186
3,Archivalien,1730,186
3,Ausstellungsgebäude,1191,183
4,Fotos,4,736979
4,Kontaktbogen,11,308535
4,Foto,2,214032
4,Fotografie,1,197995
4,Personalakten,9,159915
4,Politik,72,63582
4,Kunst und Kultur,17,53957
4,Architektur,10,47026
4,Gesellschaft,155,40222
4,Bild,24,36464
4,Ortskatalog zur Kunst und Architektur,66,33666
4,Monografie,21,31875
4,Standfoto,166,31302
4,Karten und Pläne,82,25238
4,Bildung und Wissenschaft,192,23494
4,AV-Materialien,31,22909
4,Spruchkammerakten,19,22336
4,Amtsbücher,30,22162
4,Industrie,38,18648
4,Bildnisse,133,17383
4,Szenenbilder,3,17188
4,Handel und Wirtschaft,146,15615
4,Malerei,132,14794
4,Technik-Katalog,52,14016
4,Bildnis,60,12433
4,Bauwesen,328,12308
4,Zeichenkunst,27,11916
4,Druck,51,11731
4,Schellackplatte,67,11105
4,Möbel,91,10866
4,Druckgrafik,50,10505
4,Zeichnung,28,10408
4,Sport,77,9737
4,Nachlässe,157,9544
4,Wohnhaus,36,8914
4,Print,236,8690
4,Bildnis-Katalog,102,8437
4,Mühle,635,8371
4,Skulptur,15,7995
4,Möbeldesign,90,7939
4,Online-Publikation,178,7892
4,Landwirtschaft,45,7147
4,Stadt,450,6988
4,Oper,68,6959
4,Kartenforum,391,6422
4,Verkehrswesen,386,6397
4,Strafprozessakten,323,6307
4,Monographie,14,6013
4,Sonstiges,204,5728
4,Messen,523,5030
4,Band,179,4985
4,Natur,380,4699
4,Topografie,390,4562
4,Tafelmalerei,23,4503
4,Gesundheitswesen,283,4482
4,Kunstgewerbe,6,4339
4,Grabskulptur,172,3865
4,Auktionskatalog,422,3584
4,book,98,3535
4,Unterrichtsmittel,480,3417
4,Photographie,1368,3273
4,Wohnen,174,3226
4,Handwerk,40,3208
4,Portrait,46,3197
4,Militär,605,3091
4,Zeichnung / Grafik,415,3040
4,Gesundheit und Soziales,980,2868
4,Deutschland,1482,2785
4,Geschichte,184,2783
4,Lied,851,2774
4,Realismus,414,2751
4,Wirtschaft,115,2708
4,Sonstiges &,1167,2642
4,Kunsthandwerk,417,2581
4,Haar- und Bartpflege,2794,2529
4,Krankenakten,35,2466
4,Tiere,315,2436
4,Grabstein,239,2424
4,Kirche,126,2388
4,Veranstaltungen,230,2383
4,Weltfestspiele der Jugend und Studenten,583,2376
4,Landschaften,1909,2339
4,Gemälde,377,2289
4,Kommunales,198,2263
4,Skizzenbuchblatt,1915,2229
4,Ausstellungen,1377,2202
4,Arbeiterfotografie,476,2184
4,Druckgraphik,568,2169
4,Ausstellung,575,2100
4,Freizeit,311,2041
4,Kultur,1039,1878
4,Plan,606,1845
4,Arbeiten auf Papier,418,1716
4,politische Veranstaltungen,932,1716
4,Pressefotografie,599,1659
4,Bildwerke / Bildende Kunst,1736,1618
4,Galerie Neue Meister,925,1594
4,"Medizin, Gesundheit",22,1544
4,Künstler,424,1539
4,Wohn- und Geschäftshaus,327,1524
5,Fotos,4,21936
5,Architektur,10,10903
5,Personalakten,9,9658
5,Ortskatalog zur Kunst und Architektur,66,7449
5,Karten und Pläne,82,6012
5,Bild,24,5609
5,Fotografie,1,4032
5,Foto,2,3839
5,Wohnhaus,36,3511
5,Druck,51,1882
5,Amtsbücher,30,1756
5,Nachlässe,157,1680
5,Druckgrafik,50,1674
5,Wohnen,174,1570
5,Kartenforum,391,1508
5,Band,179,1328
5,Grabskulptur,172,1176
5,Skulptur,15,1163
5,Schellackplatte,67,1146
5,Brief,854,1124
5,Aus Nachlass Richard Dehmel,855,1118
5,Briefkopierbücher Richard Dehmel,856,1118
5,830 - Deutsche und verwandte Literaturen,857,1118
5,Kunstgewerbe,6,1103
5,Plan,606,1099
5,Monographie,14,1006
5,Monografie,21,1002
5,Krankenakten,35,999
5,Zeichenkunst,27,981
5,Online-Publikation,178,851
5,Malerei,132,836
5,Wohn- und Geschäftshaus,327,759
5,Zeichnung,28,739
5,Oper,68,736
5,Tafelmalerei,23,682
5,Topografie,390,610
5,Zeichnung / Skizze,151,599
5,Grabstein,239,591
5,Villa,1565,559
5,Territorium,3174,517
5,Bad Nauheim / Kurverwaltung,164,488
5,Print,236,473
5,Druckgraphik,568,472
5,Technik-Katalog,52,471
5,Mehrbändiges Werk,859,451
5,Unterrichtsmittel,480,420
5,Grabmal,413,399
5,Zeichnung / Grafik,415,372
5,Bleistift,148,370
5,Haar- und Bartpflege,2794,370
5,Ansichtskarte,1444,312
5,Bauverwaltung,663,307
5,Bärte,358,300
5,Kaiserreich Geschichtsschulbuecher,366,296
5,Lied,851,284
5,Staatliche Hochschule für Baukunst und Bildende Künste Weimar 1946-1951,627,276
5,Kirche,126,274
5,Wandmalerei,111,271
5,Wandbild,145,270
5,Vorderseite,312,269
5,Feder,3753,261
5,Auktionskatalog,422,257
5,Grundriss,211,255
5,Schule,479,253
5,Rathaus,437,235
5,Rückseite,905,235
5,Geographieschulbuecher Kaiserreich,521,234
5,Denkmal,1027,227
5,Archivalien,1730,223
5,Geschichte,184,215
5,Wohn- und Geschäftshäuser,6958,212
5,Keramik,267,209
5,Vase,580,207
5,Bauskulptur,153,205
5,mehrbändiges Werk,105,197
5,Fortlaufendes Sammelwerk,447,196
5,Relief,73,193
5,Kunsthandwerk,417,191
5,"Schmidt, Ludwig",4108,190
5,Statue,16,188
5,Bauernhof,187,188
5,Lichtpause,2251,187
5,Sakralbau,1987,184
5,"Bleistift, Feder",1294,182
5,Denkmalskulptur,412,180
5,Brunnen,296,178
5,Mathematica,1528,178
5,Strafprozessakten,323,177
5,Verwaltungsgebäude,598,177
5,Wohnen; Wohnhaus,712,175
5,Sammlung,1456,175
5,Gemälde,377,173
5,Frohburg,4566,171
5,Großherzoglich Sächsische Kunstschule zu Weimar 1860-1910,624,169
5,Fabrik,910,167
5,Krankenhäuser; Kuranlagen; Bäder;,4534,159
5,Kaserne,667,155
5,Kirche (evangelisch),949,147
5,Landesaufnahme,1129,146
5,Wasserversorgung,76,144
6,Personalakten,9,30975
6,Fotos,4,18856
6,Spruchkammerakten,19,18721
6,Amtsbücher,30,17571
6,Fotografie,1,6941
6,Foto,2,5927
6,Architektur,10,5508
6,Bild,24,4937
6,Monographie,14,4441
6,Ortskatalog zur Kunst und Architektur,66,4134
6,book,98,3524
6,Karten und Pläne,82,2754
6,Standfoto,166,2623
6,Nachlässe,157,2584
6,Band,179,1972
6,Druck,51,1683
6,Wohnhaus,36,1384
6,Schellackplatte,67,1325
6,Druckgrafik,50,1311
6,Skulptur,15,1213
6,Zeichenkunst,27,1205
6,Print,236,1203
6,Grabskulptur,172,1130
6,Kartenforum,391,1128
6,Monografie,21,1052
6,Zeichnung,28,969
6,Malerei,132,928
6,Krankenakten,35,906
6,Kunstgewerbe,6,893
6,Tafelmalerei,23,877
6,Oper,68,877
6,sh2008113365,99,761
6,Topografie,390,751
6,sh85148236,714,724
6,Wohnen,174,716
6,Strafprozessakten,323,708
6,Grabstein,239,677
6,Denkmalskulptur,412,617
6,Zeichnung / Skizze,151,544
6,Plan,606,528
6,journal,5829,523
6,Druckgraphik,568,514
6,Denkmal,1027,507
6,sh2010119545,2345,474
6,sh2008113843,2346,472
6,Online-Publikation,178,470
