timeId,name,affiliateId,count
2,"Schumacher, Klaus-Dieter (Fotograf)",32,345
2,Costenoble,11705,342
2,"Goethe, Johann Wolfgang von (1749-1832)",4580,340
2,Hirschwald,9420,338
2,Hurter,9614,336
2,Krabbe,4022,332
2,Schmid,7459,329
2,"Beethoven, Ludwig van (1770-1827)",1087,322
2,Franckh,3673,321
2,Didot,1476,321
2,Allg. Zeitung,6158,318
2,"Cotta, Johann Friedrich von (1764-1832)",6159,318
2,Migne,18953,317
2,"Migne, Jacques Paul (1800-1875)",18955,317
2,Laupp,4878,314
2,Wagner,264,313
2,Oskar Netoliczka,1727,308
2,Dentu,9148,308
2,Günther,9837,306
2,Fleischmann,10890,303
2,Hoffmann,5946,301
2,"Shakespeare, William (1564-1616)",5255,301
2,Selbstverl.,397,294
2,"Spano, Giovanni (1803 - 1878)",15705,292
2,Kirchheim,9605,289
2,Murray,1559,288
2,Buchner,576,287
3,"Stoedtner, Franz (Lichtbildverlag) (Fotograf)",460,11262
3,Preußische Regierung Sigmaringen,326,4082
3,Domänenkanzlei,131,3309
3,Oberamt/Landratsamt Sigmaringen,1859,1231
3,Generaldirektion der Bad. Staatseisenbahnen Karlsruhe,1514,1065
3,"Richter, Regine (Fotograf)",61,792
3,Messbildstelle Dresden (Fotograf),195,747
3,Technoseum,755,716
3,Landgericht Freiburg,5594,714
3,Ministerium der Auswärtigen Angelegenheiten,6561,655
3,"Schumacher, Klaus-Dieter (Fotograf)",32,622
3,Unbekannter Fotograf (Fotograf),585,597
3,Ministerium der auswärtigen Angelegenheiten,221,594
3,Karl Weysser,4408,580
3,Leopold Adler,7885,572
3,Bildarchiv Foto Marburg (Marburg),420,560
3,Museumsberg Flensburg,2832,530
3,Theatergeschichtliche Sammlung und Hebbelsammlung,7527,520
3,Wasserwirtschaftsamt Buchen,853,473
3,Ministerium des Innern; Adelsmatrikelkommission,2057,466
3,Zentralstelle für Gewerbe und Handel in Stuttgart (1848-1920),2831,441
3,Forstamt Mosbach,1446,420
3,Preußische Regierung,3469,399
3,Verlag A. und R. Adam (Fotograf),1399,390
3,"Bregulla, Siegfried (Fotograf)",797,379
3,"Urach, Florestine Herzogin von, Gräfin von Württemberg, geb. Prinzessin von Monaco, 1833-1897",15026,378
3,Bundesbahndirektion Karlsruhe,205,371
3,Statistisches Landesamt,7000,368
3,Schleswig-Holsteinische Landesbibliothek,4887,368
3,"Ahlers, Henrik (Fotograf)",119,364
3,"Reinecke, Hans (Fotograf)",11,364
3,Nachlaß Herzog Wilhelm II. von Urach,1634,344
3,Kreis- und Hofgericht Freiburg,1783,339
3,Breitkopf & Härtel,4513,334
3,private Sammlung (Marburg),307,334
3,Landgericht Konstanz,10210,331
3,"Bantzer, Carl",11064,320
3,STB,2075,319
3,"Thiersch, Friedrich von",7153,314
3,Universitätsmuseum für Kunst und Kulturgeschichte (Marburg),1416,310
3,Oskar Netoliczka,1727,308
3,Rentamt Wertheim,8955,308
3,Forstamt Wiesloch,4358,305
3,Gesamtarchiv der Schenken von Stauffenberg,5311,304
3,Forstamt Weinheim,3807,302
3,Forstamt Gernsbach,3237,297
3,"Krause, Siegfried (Fotograf)",1434,290
3,"Varnbüler von und zu Hemmingen, Axel Freiherr; württembergischer Diplomat, 1851-1937",1338,289
3,Forstamt Sinsheim,8509,289
3,Frisörmuseum,4314,285
3,LRA Lörrach,22157,280
3,"Gogh, Vincent van",357,272
3,"Blossfeldt, Karl (Fotograf)",9240,270
3,"Straube, Stefan (Fotograf)",365,267
3,Museen im Kulturzentrum,6336,263
3,"Lipsius, Konstantin",2906,261
3,"Weimer, Michael (Fotograf)",38,260
3,Forstamt Eberbach,5269,259
3,Forstamt Wertheim,11300,257
3,"Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Germany",1266,252
3,"Rodin, Auguste",8028,250
3,Stadt Külsheim,10916,249
3,Forstamt Buchen,898,246
3,Teubner,266,246
3,Saarländisches Schulmuseum Ottweiler,835,241
3,"Lüttig, Matthias (Fotograf)",56,239
3,Landgericht Offenburg,14507,236
3,Forstamt Eppingen,11622,235
3,"Donadini, Ermenegildo Antonio (Fotograf)",20438,234
3,Forstamt Mittelberg,10181,227
3,Reichsbahndirektion Karlsruhe,2492,224
3,"Teufel, Carl",14931,221
3,"Christiansen, Hans",8412,207
3,Sächsisches Staatsministerium für Wissenschaft und Kunst,3643,204
3,Forstamt Gerlachsheim,2725,200
3,Forstamt Stein,1896,199
3,Bezirksamt Eberbach,3715,197
3,"Universitätsbibliothek der Universität Heidelberg,",70,190
3,Hirzel,3644,188
3,Musée National Auguste Rodin (Paris),14138,184
3,"Rous, André (Fotograf)",2,182
3,Städelsches Kunstinstitut und Städtische Galerie (Frankfurt (Main)),2476,182
3,Keller,17656,181
3,Oberamt Gammertingen/Landratsamt Sigmaringen,14964,180
3,Ministerium des Innern,18123,179
3,Forstamt Tauberbischofsheim,7609,177
3,Staatliche Museen zu Berlin - Preußischer Kulturbesitz — Nationalgalerie (Berlin),3131,177
3,"Aufsberg, Lala (Fotograf)",537,176
3,Unbekannt,7886,174
3,Revieramt Adelberg,12498,173
3,"Varnbüler von und zu Hemmingen, Theodor Maria Julius Ernst Albert Alfred Axel Freiherr von",1339,170
3,Ministerium des Innern: Kommission für die Adelsmatrikel,25963,170
3,"Kunert, Dietrich (Fotograf)",136,170
3,"Brehm, Geometer",12378,165
3,"Schinkel, Karl Friedrich",8354,165
3,Forstamt Schwetzingen,3808,163
3,Forstamt Langensteinbach,2460,162
3,Römmler und Jonas,584,160
3,Sylter Heimatmuseum,1062,159
3,"Musikinstrumenten-Museum, Staatliches Institut für Musikforschung Preußischer Kulturbesitz",6941,158
4,"Höhne, Erich (Fotograf)",4,308336
